ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
4618,Fats and Oils,"Margarine, regular, 80% fat, composite, tub, without salt",713,0.22,80.17,0.75,0,0,819,0,0.08,0.1,15.43,1,0,0,0,3,0,0,1,0,5,0,0,0.91,0,0.03333333,0.00111111,1.02866667,0.0025,0,0,0,0.0025,0,0.00238095,0.00714286,0,0
12179,Nut and Seed Products,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",501,2.88,35.49,47.67,43.17,4.5,0,0.271,0,0.7,0.39,8,0.474,0.02,0.031,15,0.313,1.92,50,2.475,107,16.7,1.82,0,0.159411765,0,0.007777778,0.026,0.02,0.029625,0.015384615,0.025833333,0.0125,0.000347778,0.119047619,0.152857143,0.303636364,0.165454545
12060,Nut and Seed Products,"Nuts, acorn flour, full fat",501,7.49,30.17,54.65,0,0,3,0.688,0,0,0,114,2.382,0.154,0.146,43,0.611,1.21,110,1.743,103,0,0.64,0.003333333,0.404705882,0,0,0,0.285,0.148875,0.118461538,0.121666667,0.035833333,0.000678889,0.261904762,0.147142857,0,0.058181818
12160,Nut and Seed Products,"Seeds, cottonseed kernels, roasted (glandless)",506,32.59,36.29,21.9,0,5.5,22,0.782,0,9,0,233,3,0.255,0.75,100,1.2,5.4,440,2.181,800,0,6,0.024444444,0.46,0,0.1,0,0.5825,0.1875,0.196153846,0.625,0.083333333,0.001333333,1.047619048,1.142857143,0,0.545454545
4648,Fats and Oils,"Oil, industrial, soy (partially hydrogenated), principal uses popcorn and flavoring vegetables",884,0,100,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0
4510,Fats and Oils,"Oil, safflower, salad or cooking, linoleic, (over 70%)",884,0,100,0,0,0,0,0,0,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.273333333,0,0,0,0,0,0,0,0,0,0
16149,Legumes and Legume Products,"Peanut spread, reduced sugar",650,24.8,54.89,14.23,3.34,7.8,0,0.471,0,0,8.06,144,16.385,0.122,0.116,72,0.76,2.84,164,1.979,350,9.1,3.51,0,0.277058824,0,0,0.537333333,0.36,1.0240625,0.093846154,0.096666667,0.06,0.000844444,0.39047619,0.5,0.165454545,0.319090909
16399,Legumes and Legume Products,"Peanut butter with omega-3, creamy",608,24.47,54.17,17,3.11,6.1,0,0.292,0,0,10.34,0,12.875,0.087,0.055,45,0.476,1.67,191,1.85,426,0,3.08,0,0.171764706,0,0,0.689333333,0,0.8046875,0.066923077,0.045833333,0.0375,0.000528889,0.454761905,0.608571429,0,0.28
12145,Nut and Seed Products,"Nuts, pilinuts, dried",719,10.8,79.55,3.98,0,0,2,0.115,0,0.6,0,60,0.519,0.093,0.913,145,0.958,3.53,302,2.313,575,0,2.97,0.002222222,0.067647059,0,0.006666667,0,0.15,0.0324375,0.071538462,0.760833333,0.120833333,0.001064444,0.719047619,0.821428571,0,0.27
12632,Nut and Seed Products,"Nuts, macadamia nuts, dry roasted, with salt added",716,7.79,76.08,12.83,4.14,8,0,0.359,0,0.7,0.57,10,2.274,0.087,0.71,70,0.57,2.65,118,3.036,198,11.7,1.29,0,0.211176471,0,0.007777778,0.038,0.025,0.142125,0.066923077,0.591666667,0.058333333,0.000633333,0.280952381,0.282857143,0.212727273,0.117272727
